Control ID,Control Name,CCI,CCI Definition,Status,Risk Level,Assessment Date,Assessor,Comments
AC-7(2),Unsuccessful Logon Attempts | Purge or Wipe Mobile Device,CCI-002240,"Defines the purging or wiping requirements and techniques to be used on organization-defined mobile devices after an organization-defined number of consecutive, unsuccessful device logon attempts.",,,,,
AC-7(2),Unsuccessful Logon Attempts | Purge or Wipe Mobile Device,CCI-002241,"Defines the number of consecutive, unsuccessful device logon attempts after which the organization-defined mobile devices will be purged or wiped.",,,,,
AC-7(2),Unsuccessful Logon Attempts | Purge or Wipe Mobile Device,CCI-002242,"Purge or wipe information from organization-defined mobile devices based on organization-defined purging or wiping requirements and techniques after an organization-defined number of consecutive, unsuccessful device logon attempts.",,,,,
AC-7(3),Unsuccessful Logon Attempts | Biometric Attempt Limiting,CCI-003687,Limit the number of unsuccessful biometric logon attempts to an organization-defined number.,,,,,
AC-7(3),Unsuccessful Logon Attempts | Biometric Attempt Limiting,CCI-003688,Defines the number of allowed unsuccessful biometric logon attempts.,,,,,
AC-7(4),Unsuccessful Logon Attempts | Use of Alternate Authentication Factor,N/A,No CCIs mapped,,,,,
AC-8,System Use Notification,CCI-000048,"Display an organization-defined system use notification message or banner to users before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidelines.",,,,,
AC-8,System Use Notification,CCI-000050,Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system.,,,,,
AC-8,System Use Notification,CCI-001384,"For publicly accessible systems, display system use information with organization-defined conditions before granting further access to the publicly accessible system.",,,,,
AC-8,System Use Notification,CCI-001385,"For publicly accessible systems, displays references, if any, to monitoring that are consistent with privacy accommodations for such systems that generally prohibit those activities.",,,,,
AC-8,System Use Notification,CCI-001386,"For publicly accessible systems, displays references, if any, to recording that are consistent with privacy accommodations for such systems that generally prohibit those activities.",,,,,
AC-8,System Use Notification,CCI-001387,"For publicly accessible systems, displays references, if any, to auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities.",,,,,
AC-8,System Use Notification,CCI-001388,"For publicly accessible systems, includes a description of the authorized uses of the system.",,,,,
AC-8,System Use Notification,CCI-002243,Organization-defined system use notification message or banner is to state that users are accessing a U.S. Government system.,,,,,
AC-8,System Use Notification,CCI-002244,"Organization-defined system use notification message or banner is to state that system usage may be monitored, recorded, and subject to audit.",,,,,
AC-8,System Use Notification,CCI-002245,Organization-defined system use notification message or banner is to state that unauthorized use of the system is prohibited and subject to criminal and civil penalties.,,,,,
AC-8,System Use Notification,CCI-002246,Organization-defined system use notification message or banner is to state that use of the system indicates consent to monitoring and recording.,,,,,
AC-8,System Use Notification,CCI-002247,Defines the use notification message or banner the system displays to users before granting access to the system.,,,,,
AC-8,System Use Notification,CCI-002248,Defines the conditions of use which are to be displayed to users of the system before granting further access.,,,,,
AC-9,Previous Logon Notification,CCI-000052,"Notify the user, upon successful logon (access) to the system, of the date and time of the last logon (access).",,,,,
AC-9(1),Previous Logon Notification | Unsuccessful Logons,CCI-000053,"Notify the user, upon successful logon/access, of the number of unsuccessful logon/access attempts since the last successful logon/access.",,,,,
AC-9(2),Previous Logon Notification | Successful and Unsuccessful Logons,CCI-001389,Defines the time period that the system notifies the user of the number of successful logon/access attempts.,,,,,
AC-9(2),Previous Logon Notification | Successful and Unsuccessful Logons,CCI-001390,Defines the time period that the system notifies the user of the number of unsuccessful logon/access attempts.,,,,,
AC-9(2),Previous Logon Notification | Successful and Unsuccessful Logons,CCI-001391,"Notify the user, upon successful logon, of the number of successful logons/accesses during the organization-defined time period.",,,,,
AC-9(2),Previous Logon Notification | Successful and Unsuccessful Logons,CCI-001392,"Notify the user, upon successful logon, of the number of unsuccessful logon/access attempts during the organization-defined time period.",,,,,
AC-9(3),Previous Logon Notification | Notification of Account Changes,CCI-001393,"Defines the security-related characteristics/parameters of the user's account which, when changed, will result in a notification being provided to the user during the organization-defined time period.",,,,,
AC-9(3),Previous Logon Notification | Notification of Account Changes,CCI-001394,Defines the time period during which organization-defined security-related changes to the user's account are to be tracked.,,,,,
AC-9(3),Previous Logon Notification | Notification of Account Changes,CCI-001395,"Notify the user, upon successful logon, of changes to organization-defined security-related characteristics/parameters of the user's account during the organization-defined time-period.",,,,,
